unique_id,citation_context,citation_class_label,predicted_classes,non_cleaned_prediction
W06-3309_22,"Furthermore , the availability of rich ontological resources , in the form of the Unified Medical Language System ( UMLS ) ( Lindberg et al. , 1993 ) , and the availability of software that leverages this knowledge -- MetaMap ( Aronson , 2001 ) for concept identification and SemRep ( @@CITATION@@ ) for relation extraction -- provide a foundation for studying the role of semantics in various tasks .",BACKGROUND,BACKGROUND,background
J00-2001_11,"The names given to the components vary ; they have been called `` strategic '' and `` tactical '' components ( e.g. , McKeown 1985 ; Thompson 1977 ; Danlos 1987 ) 1 , `` planning '' and `` realization '' ( e.g. , McDonald 1983 ; @@CITATION@@a ) , or simply `` what to say '' versus `` how to say it '' ( e.g. , Danlos 1987 ; Reithinger 1990 ) .",BACKGROUND,,comparison_or_contrasts
P10-4003_2,"Over the last decade there has been a lot of interest in developing tutorial dialogue systems that understand student explanations ( Jordan et al. , 2006 ; Graesser et al. , 1999 ; Aleven et al. , 2001 ; @@CITATION@@ ; Nielsen et al. , 2008 ; VanLehn et al. , 2007 ) , because high percentages of selfexplanation and student contentful talk are known to be correlated with better learning in humanhuman tutoring ( Chi et al. , 1994 ; Litman et al. , 2009 ; Purandare and Litman , 2008 ; Steinhauser et al. , 2007 ) .",BACKGROUND,MOTIVATION,motivation
P10-4003_1,We use the TRIPS dialogue parser ( @@CITATION@@ ) to parse the utterances .,USES,,uses - this citation indicates that the paper uses or refers to
J09-4010_33,"In order to address these limitations in a practical way , we conducted a small user study where we asked four judges ( graduate students from the Faculty of Information Technology at Monash University ) to assess the responses generated by our system ( @@CITATION@@a ) .",USES,USES,uses
W00-1017_13,"The understanding module utilizes ISSS ( Incremental Significant-utterance Sequence Search ) ( @@CITATION@@b ) , which is an integrated parsing and discourse processing method .",USES,,extends - the citation indicates that the paper extends a previous
W01-1510_20,"We applied our system to the XTAG English grammar ( The XTAG Research @@CITATION@@ ) 3 , which is a large-scale FB-LTAG grammar for English .",USES,USES,uses
P11-1134_34,"After the extraction , pruning techniques ( @@CITATION@@ ) can be applied to increase the precision of the extracted paraphrases .",BACKGROUND,,future - this citation suggests a future direction for improving
D09-1053_1,"In this paper , we extend two classes of model adaptation methods ( i.e. , model interpolation and error-driven learning ) , which have been well studied in statistical language modeling for speech and natural language applications ( e.g. , @@CITATION@@ ; Bellegarda , 2004 ; Gao et al. , 2006 ) , to ranking models for Web search applications .",BACKGROUND,EXTENDS,extends
W03-0806_11,GATE goes beyond earlier systems by using a component-based infrastructure ( @@CITATION@@ ) which the GUI is built on top of .,BACKGROUND,EXTENDS,extends
J91-2003_47,"Since sentences can refer to events described by other sentences , we may need also a quotation operator ; @@CITATION@@ describes how first order logic can be augmented with such an operator .",BACKGROUND,EXTENDS,"extends (the citation suggests extending the framework, which could"
P10-4003_6,"The system uses a knowledge base implemented in the KM representation language ( Clark and Porter , 1999 ; @@CITATION@@ ) to represent the state of the world .",USES,BACKGROUND,background - this citation indicates that the paper discuss
W11-0218_12,A possible future direction would be to compare the query string to retrieved results using a method similar to that of @@CITATION@@ .,FUTURE,FUTURE,future
J97-4003_35,description-level lexical rules ( DLRs ; @@CITATION@@ ) .5 2.2.1 Meta-Level Lexical Rules .,BACKGROUND,BACKGROUND,background - the citation refers to a specific aspect
J03-3004_27,"All EBMT systems , from the initial proposal by @@CITATION@@ to the recent collection of Carl and Way ( 2003 ) , are premised on the availability of subsentential alignments derived from the input bitext .",BACKGROUND,,comparison_or_contrasts - this c
J91-2003_30,"The necessity of this kind of merging of arguments has been recognized before : Charniak and McDermott ( 1985 ) call it abductive unification/matching , @@CITATION@@ , 1979 ) refers to such operations using the terms knitting or petty conversational implicature .",BACKGROUND,,comparison_or_contrasts (since this
J97-4003_27,"In a number of proposals , lexical generalizations are captured using lexical underspecification ( Kathol 1994 ; @@CITATION@@ ;",COMPARES_CONTRASTS,BACKGROUND,background
P07-1068_5,"These keywords are potentially useful features because some of them are subclasses of the ACE SCs shown in the left column of Table 1 , while others appear to be correlated with these ACE SCs .2 ( 6 ) INDUCED CLASS : Since the first-sense heuristic used in the previous feature may not be accurate in capturing the SC of an NP , we employ a corpusbased method for inducing SCs that is motivated by research in lexical semantics ( e.g. , @@CITATION@@ ) .",MOTIVATION,MOTIVATION,motivation
J91-2003_1,Other psycholing-uistic studies that confirm the validity of paragraph units can be found in @@CITATION@@ and Haberlandt et al. ( 1980 ) .,BACKGROUND,BACKGROUND,background
E03-1002_4,"The bottom panel of table 1 lists the results for the chosen lexicalized model ( SSN-Freq > 200 ) and five recent statistical parsers ( Ratnaparkhi , 1999 ; Collins , 1999 ; Charniak , 2000 ; Collins , 2000 ; @@CITATION@@ ) .",COMPARES_CONTRASTS,,comparison_or_contrasts
D09-1056_18,"Nevertheless , the full document text is present in most systems , sometimes as the only feature ( Sugiyama and Okumura , 2007 ) and sometimes in combination with others see for instance ( Chen and Martin , 2007 ; @@CITATION@@ ) - .",BACKGROUND,USES,uses
P00-1007_28,"In a similar vain to @@CITATION@@ and Buchholz et al. ( 1999 ) , the method extends an existing flat shallow-parsing method to handle composite structures .",FUTURE,EXTENDS,extends
P07-1068_6,"As a result , researchers have re-adopted the once-popular knowledge-rich approach , investigating a variety of semantic knowledge sources for common noun resolution , such as the semantic relations between two NPs ( e.g. , @@CITATION@@ ) , their semantic similarity as computed using WordNet ( e.g. , Poesio et al. ( 2004 ) ) or Wikipedia ( Ponzetto and Strube , 2006 ) , and the contextual role played by an NP ( see Bean and Riloff ( 2004 ) ) .",BACKGROUND,MOTIVATION,motivation
P08-1101_23,"We built a two-stage baseline system , using the perceptron segmentation model from our previous work ( @@CITATION@@ ) and the perceptron POS tagging model from Collins ( 2002 ) .",EXTENDS,EXTENDS,extends - the citation indicates an extension of a prior system
J07-1005_3,"Note that although our current system uses MeSH headings assigned by human indexers , manually assigned terms can be replaced with automatic processing if needed ( @@CITATION@@ ) .",FUTURE,FUTURE,future
W02-0309_11,"Furthermore , medical terminology is characterized by a typical mix of Latin and Greek roots with the corresponding host language ( e.g. , German ) , often referred to as neo-classical compounding ( @@CITATION@@ ) .",BACKGROUND,BACKGROUND,background
J12-4003_8,"Previously ( @@CITATION@@ ) , we assessed the importance of various implicit argument feature groups by conducting feature ablation tests .",EXTENDS,MOTIVATION,motivation - this citation indicates that previous work has motiv
D10-1052_31,"To model d ( FWi â 1 , S â T ) , d ( FWi +1 , S â T ) , i.e. whether Li , S â T and Ri , S â T extend beyond the neighboring function word phrase pairs , we utilize the pairwise dominance model of @@CITATION@@ .",USES,COMPARES_CONTRASTS,"compares_contrasts (assuming that ""pair"
J91-2003_53,"For instance , @@CITATION@@ , p. 8 ) says that the sentence `` Reagan thinks bananas , '' which is otherwise strange , is in fact acceptable if it occurs as an answer to the question `` What is Kissinger 's favorite fruit ? ''",MOTIVATION,,comparison_contrasts (this citation provides
D08-1034_2,Semantic Role labeling ( SRL ) was first defined in @@CITATION@@ .,BACKGROUND,BACKGROUND,background
W06-2807_6,AJAX function lets the communication works asyncronously between a client and a server through a set of messages based on HTTP protocol and XML ( @@CITATION@@ ) .,BACKGROUND,USES,uses
J01-4001_6,"The inclusion of the coreference task in the Sixth and Seventh Message Understanding Conferences ( MUC-6 and MUC-7 ) gave a considerable impetus to the development of coreference resolution algorithms and systems , such as those described in Baldwin et al. ( 1995 ) , Gaizauskas and Humphreys ( 1996 ) , and @@CITATION@@ .",BACKGROUND,,comparison_or_contrasts - this c
P97-1063_27,"The most detailed evaluation of link tokens to date was performed by ( @@CITATION@@ ) , who trained Brown et al. 's Model 2 on 74 million words of the Canadian Hansards .",COMPARES_CONTRASTS,,comparison_or_contrasts - this c
E03-1002_7,"Log-linear models have proved successful in a wide variety of applications , and are the inspiration behind one of the best current statistical parsers ( @@CITATION@@ ) .",COMPARES_CONTRASTS,,comparison_or_contrasts - this c
J00-3001_2,"While we have observed reasonable results with both G2 and Fisher 's exact test , we have not yet discussed how these results compare to the results that can be obtained with a technique commonly used in corpus linguistics based on the mutual information ( MI ) measure ( @@CITATION@@ ) :",BACKGROUND,,comparison_or_contrasts
W02-0309_1,"Morphological alterations of a search term have a negative impact on the recall performance of an information retrieval ( IR ) system ( @@CITATION@@ ; J Â¨ appinen and Niemist Â¨ o , 1988 ; Kraaij and Pohlmann , 1996 ) , since they preclude a direct match between the search term proper and its morphological variants in the documents to be retrieved .",BACKGROUND,,"comparison_or_contrasts

this"
W04-0910_21,"For shuffling paraphrases , french alternations are partially described in ( @@CITATION@@ ) and a resource is available which describes alternation and the mapping verbs/alternations for roughly 1 700 verbs .",BACKGROUND,,future - this citation suggests that it refers to future work
N04-2004_24,"A more recent approach , advocated by Rappaport Hovav and Levin ( 1998 ) , describes a basic set of event templates corresponding to Vendler 's event classes ( @@CITATION@@ ) : ( 3 ) a. [ x ACT <MANNER> ] ( activity ) b. [ x <STATE> ] ( state ) c. [ BECOME [ x <STATE> ] ] ( achievement ) d. [ x CAUSE [ BECOME [ x <STATE> ] ] ] ( accomplishment )",BACKGROUND,BACKGROUND,background
J03-3004_35,@@CITATION@@ combines lexical and dependency mappings to form his generalizations .,BACKGROUND,,extends - this citation suggests that the referenced work extends previous
W04-0910_8,"Thus for instance , ( Copestake and Flickinger , 2000 ; @@CITATION@@ ) describes a Head Driven Phrase Structure Grammar ( HPSG ) which supports the parallel construction of a phrase structure ( or derived ) tree and of a semantic representation and ( Dalrymple , 1999 ) show how to equip Lexical Functional grammar ( LFG ) with a glue semantics .",BACKGROUND,COMPARES_CONTRASTS,compares_contrasts - this citation is comparing
D10-1052_30,"The reordering models we describe follow our previous work using function word models for translation ( Setiawan et al. , 2007 ; @@CITATION@@ ) .",EXTENDS,,extends - this citation extends the previous research on function word
E03-1005_50,"And Collins ( 2000 ) argues for `` keeping track of counts of arbitrary fragments within parse trees '' , which has indeed been carried out in @@CITATION@@ who use exactly the same set of ( all ) tree fragments as proposed in Bod ( 1992 ) .",MOTIVATION,COMPARES_CONTRASTS,compares_contrasts - this citation is comparing
J09-4010_3,"In our work , we gather sets of sentences , and assume ( but do not employ ) existing approaches for their organization ( Goldstein et al. 2000 ; Barzilay , Elhadad , and McKeown 2001 ; @@CITATION@@ ) .",BACKGROUND,MOTIVATION,motivation - this citation indicates that the authors are motiv
D11-1138_25,criteria and data used in our experiments are based on the work of @@CITATION@@ .,USES,MOTIVATION,motivation - this citation indicates that the paper is motiv
K15-1002_27,"We present experiments on the two standard coreference resolution datasets , ACE-2004 ( NIST , 2004 ) and OntoNotes-5 .0 ( @@CITATION@@ ) .",USES,USES,uses (as it refers to applying methods or experiments on the mentioned
J09-4010_40,â¢ Only qualitative observations of the responses were reported ( no formal evaluation was performed ) ( Lapalme and Kosseim 2003 ; @@CITATION@@ ) .,COMPARES_CONTRASTS,,comparison_or_contrasts - this c
E03-1005_57,"And subderivations headed by A1 with external nonterminals only at the leaves , internal nonterminals elsewhere , have probability 1/a1 ( @@CITATION@@ ) .",BACKGROUND,BACKGROUND,background - this statement seems to be discussing a
W06-2933_9,â¢ Support vector machines for mapping histories to parser actions ( @@CITATION@@ ) .,USES,,extends - this citation suggests that the work extends methods related
E03-1005_55,"@@CITATION@@ , 1998 ) developed a polynomial time PCFG-reduction of DOP1 whose size is linear in the size of the training set , thus converting the exponential number of subtrees to a compact grammar .",BACKGROUND,,comparison_or_contrasts - this c
N01-1009_9,@@CITATION@@ avoids enumerating the various senses for adjectives like fast by exploiting the semantics of the nouns they modify .,BACKGROUND,MOTIVATION,motivation - this citation suggests that the referenced work is
J13-1008_28,@@CITATION@@ have conducted a study on dependency parsing for 21 languages using features that encode whether the values for certain attributes are equal or not for a node and its governor .,BACKGROUND,,motivation (assuming they introduced motivation for their specific
P02-1001_9,"Such approaches have been tried recently in restricted cases ( McCallum et al. , 2000 ; @@CITATION@@b ; Lafferty et al. , 2001 ) .",BACKGROUND,COMPARES_CONTRASTS,compares_contrasts - this citation is comparing
J90-3003_4,"The relation between discourse and prosodic phrasing has been examined in some detail by @@CITATION@@ , who argues that each noun phrase in an utterance constitutes a separate prosodic phrase unless it is destressed because of reference to previous discourse .",BACKGROUND,,comparison_or_contrasts
W06-2933_1,"By contrast , Turkish ( Oflazer et al. , 2003 ; @@CITATION@@ ) exhibits high root accuracy but consistently low attachment scores ( about 88 % for length 1 and 68 % for length 2 ) .",COMPARES_CONTRASTS,COMPARES_CONTRASTS,compares_contrasts - this citation is comparing
J04-3001_7,"The candidate examples that lead to the most disagreements among the different learners are considered to have the highest TUV ( Cohn , Atlas , and Ladner 1994 ; @@CITATION@@ ) .",BACKGROUND,,comparison_or_contrasts
P11-1134_15,"Subsequently , we extracted the bilingual phrase table from the aligned corpora using the Moses toolkit ( @@CITATION@@ ) .",USES,,extends - this citation indicates that the method extends previous work
J92-1004_20,"Representative systems are described in Boisen et al. ( 1989 ) , De Mattia and Giachin ( 1989 ) , Niedermair ( 1989 ) , Niemann ( 1990 ) , and @@CITATION@@ .",BACKGROUND,,background - this citation is providing context or background
J90-3003_12,"Our rules for phonological word formation are adopted , for the most part , from G & G , @@CITATION@@ , and the account of monosyllabic destressing in Selkirk ( 1984 ) .",USES,,background - this citation is providing background information on
J05-3003_7,"As a generalization , @@CITATION@@ notes that lexicons such as COMLEX tend to demonstrate high precision but low recall .",BACKGROUND,,comparison_or_contrasts - this c
W06-3813_17,"Such systems extract information from some types of syntactic units ( clauses in ( Fillmore and Atkins , 1998 ; Gildea and Jurafsky , 2002 ; @@CITATION@@ ) ; noun phrases in ( Hull and Gomez , 1996 ; Rosario et al. , 2002 ) ) .",BACKGROUND,BACKGROUND,background - this citation discusses the types of
W06-1104_15,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( Lesk , 1986 ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( Resnik , 1995 ; @@CITATION@@ ) or distributional ( Weeds and Weir , 2005 ) .",BACKGROUND,BACKGROUND,background - this citation discusses various approaches for
P11-1134_8,"Besides WordNet , the RTE literature documents the use of a variety of lexical information sources ( Bentivogli et al. , 2010 ; @@CITATION@@ ) .",BACKGROUND,,comparison_or_contrasts - this c
J09-4010_16,"The question answering system developed by @@CITATION@@ belongs to the merging category of approaches , where the output of an individual method can be used as input to a different method ( this corresponds to Burke 's cascade sub-category ) .",COMPARES_CONTRASTS,,comparison_or_contrasts
W04-1610_2,"More recently , ( Sebastiani , 2002 ) has performed a good survey of document categorization ; recent works can also be found in ( Joachims , 2002 ) , ( @@CITATION@@ ) , and ( Lewis et al. , 2004 ) .",BACKGROUND,MOTIVATION,motivation - this citation indicates that the paper provides a
J00-4001_2,Discriminant analysis has been employed by researchers in automatic text genre detection ( @@CITATION@@b ; Karlgren and Cutting 1994 ) since it offers a simple and robust solution despite the fact that it presupposes normal distributions of the discriminating variables .,BACKGROUND,,comparison_or_contrasts
D13-1115_1,"This model has previously been shown to provide excellent performance on multiple tasks , including prediction of association norms , word substitution errors , semantic inferences , and word similarity ( @@CITATION@@ ; Silberer and Lapata , 2012 ) .",EXTENDS,MOTIVATION,motivation - this citation is motivating because it highlight
J06-2002_2,"In other words , existing treatments of gradables in GRE fail to take the `` efficiency of language '' into account ( @@CITATION@@ ; see our Section 2 ) .",BACKGROUND,MOTIVATION,motivation
J10-3007_18,"Word alignments are used primarily for extracting minimal translation units for machine translation ( MT ) ( e.g. , phrases [ Koehn , Och , and Marcu 2003 ] and rules [ @@CITATION@@ ; Chiang et al. 2005 ] ) as well as for",BACKGROUND,COMPARES_CONTRASTS,compares_contrasts (the context implies a comparison
W00-1312_10,"Following @@CITATION@@ , the IR system ranks documents according to the probability that a document D is relevant given the query Q , P ( D is R IQ ) .",USES,,comparison_or_contrasts - this c
J05-3003_5,"In modern syntactic theories ( e.g. , lexical-functional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; @@CITATION@@ ; Dalrymple 2001 ] , head-driven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , tree-adjoining grammar [ TAG ] [ Joshi 1988 ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information .",BACKGROUND,BACKGROUND,background
J91-2003_60,"We have shown elsewhere ( Jensen and Binot 1988 ; @@CITATION@@a , 1987b ) that natural language programs , such as on-line grammars and dictionaries , can be used as referential levels for commonsense reasoning -- for example , to disambiguate PP attachment .",EXTENDS,BACKGROUND,background - this citation refers back to the use
D08-1007_26,"Thus rather than a single training procedure , we can actually partition the examples by predicate , and train a 1For a fixed verb , MI is proportional to @@CITATION@@ 's conditional probability scores for pseudodisambiguation of ( v , n , n â² ) triples : Pr ( v | n ) = Pr ( v , n ) / Pr ( n ) , which was shown to be a better measure of association than co-occurrence frequency f ( v , n ) .",MOTIVATION,COMPARES_CONTRASTS,compares_contrasts
